School_code,School_name,Country,State,Town_suburb,Postcode,# Students,Level_of_schooling,County,Latitude,Longitude
4409,Koonawarra Public School,Australia,New South Wales,Dapto ,2530,230,Primary School,Wollongong,-34.501193,150.807883
4410,Red Hill Public School,Australia,New South Wales,Wagga Wagga ,2650,243,Primary School,Wagga Wagga,-35.146431,147.347641
4411,Westport Public School,Australia,New South Wales,Port Macquarie ,2444,384,Primary School,Port Macquarie-Hastings,-31.437349,152.893038
4413,Parkview Public School,Australia,New South Wales,Leeton ,2705,404,Primary School,Leeton,-34.561818,146.395819
4416,Merewether Heights Public School,Australia,New South Wales,Merewether Heights ,2291,343,Primary School,Newcastle,-32.946716,151.737458
4417,Winston Hills Public School,Australia,New South Wales,Winston Hills ,2153,675,Primary School,Parramatta,-33.773464,150.981106
4418,Edward Public School,Australia,New South Wales,Deniliquin,2710,139,Primary School,Edward River,-35.524356,144.950562
4420,Nuwarra Public School,Australia,New South Wales,Moorebank ,2170,428,Primary School,Liverpool,-33.933241,150.951499
4421,Gillwinga Public School,Australia,New South Wales,South Grafton,2460,133,Primary School,Clarence Valley,-29.724385,152.933824
4422,Emerton Public School,Australia,New South Wales,Emerton ,2770,232,Primary School,Blacktown,-33.744738,150.805478
4423,Mount Brown Public School,Australia,New South Wales,Dapto ,2530,357,Primary School,Wollongong,-34.515885,150.784817
4424,Lapstone Public School,Australia,New South Wales,Glenbrook ,2773,243,Primary School,Blue Mountains,-33.772117,150.631327
4426,Killarney Vale Public School,Australia,New South Wales,Killarney Vale ,2261,462,Primary School,Central Coast,-33.365221,151.456103
4427,Niagara Park Public School,Australia,New South Wales,Niagara Park ,2250,555,Primary School,Central Coast,-33.384122,151.351096
4428,Southern Cross Public School,Australia,New South Wales,EAST BALLINA,2478,377,Primary School,Ballina,-28.851067,153.585664
4431,Marton Public School,Australia,New South Wales,Engadine ,2233,426,Primary School,Sutherland Shire,-34.046492,151.024232
4432,Mimosa Public School,Australia,New South Wales,Frenchs Forest ,2086,509,Primary School,Northern Beaches,-33.743343,151.205909
